"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_01235"	FALSE	710	0.8365	2171.25382262997	709	0.928	4923.61111111111	-0.325221295405925	0.0730606879192565	0.928185198857154	0.140902755272852	1
"UMAG_01236"	FALSE	39982	0.824	113585.227272727	48739	0.915	286700	-0.479799560828801	0.0111060977801499	0.988898753725608	0.0297119681040178	1
"UMAG_01237"	FALSE	1192	0.812	3170.21276595745	2365	0.934	17916.6666666666	-1.64268354858646	2.78219022444228e-12	0.9999999999973	4.04487655707377e-11	1
"UMAG_01238"	FALSE	1908	0.82	5300	2579	0.9135	14907.514450867	-0.636008338979335	0.00168371597991062	0.998334056576238	0.00636444640406216	1
"UMAG_01239"	FALSE	2307	0.849	7639.07284768212	2616	0.9395	21619.8347107438	-0.644918907368267	0.00145463714514978	0.998558241644815	0.00572763375902725	1
"UMAG_01240"	FALSE	2970	0.842	9398.73417721519	2921	0.927	20006.8493150685	-0.23398848494082	0.134988619778405	0.865515041549484	0.220157410598313	1
"UMAG_01289"	FALSE	1941	0.826	5577.58620689655	1348	0.9295	9560.28368794326	0.0785546095791879	0.67049524250156	0.330866097215182	0.782244449585153	1
"UMAG_01297"	FALSE	1150	0.8355	3495.44072948328	859	0.926	5804.05405405405	0.124380548084301	0.746440729388333	0.255575542254331	0.820216847990668	1
"UMAG_01300"	FALSE	2190	0.813	5855.61497326203	4289	0.934	32492.4242424243	-1.61624365517889	3.2929260916813e-12	0.999999999996761	4.44545022376976e-11	1
"UMAG_01301"	FALSE	1423	0.8355	4325.22796352583	2243	0.9325	16614.8148148148	-1.08565500374688	8.28157710669256e-07	0.999999188211717	6.52174197152039e-06	1
"UMAG_01302"	TRUE	4142	0.8135	11104.5576407507	3746	0.918	22841.4634146342	-0.184536030162371	0.192310661755219	0.808151462528065	0.286194606864066	1
"UMAG_01375"	FALSE	364	0.802	919.191919191919	2072	0.929	14591.5492957747	-3.13265601656547	1.61343767279176e-30	1	7.62349300394104e-29	1
"UMAG_01553"	FALSE	5	0.805	12.8205128205128	11	0.924	72.3684210526316	-1.64093919255864	0.0320276087317322	0.983213617754723	0.0720621196463975	1
"UMAG_01689"	FALSE	688	0.8225	1938.02816901408	1757	0.9175	10648.4848484848	-1.60201958995519	1.35314260620356e-11	0.999999999987129	1.70495968381649e-10	1
"UMAG_01690"	FALSE	8	0.805	20.5128205128205	10	0.924	65.7894736842106	-0.82536376369607	0.177686665572184	0.873409520217174	0.273030730025551	1
"UMAG_01779"	FALSE	12	0.805	30.7692307692308	18	0.924	118.421052631579	-1.08839816952986	0.0434557759136273	0.970317197510691	0.092282490423321	1
"UMAG_01786"	FALSE	1	0.805	2.56410256410256	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_01820"	FALSE	2868	0.839	8906.83229813664	2330	0.938	18790.3225806451	-0.221038367070161	0.149620950936234	0.850938424798888	0.237633275016372	1
"UMAG_01854"	FALSE	29405	0.802	74255.0505050505	24652	0.9215	157019.108280255	-0.22441194540998	0.140993437878202	0.859059981940119	0.225828472533731	1
"UMAG_01858"	FALSE	6478	0.8275	18776.8115942029	5368	0.9255	36026.8456375839	-0.0841531031110489	0.352605391906963	0.647807287452227	0.456454925139836	1
"UMAG_01940"	FALSE	21531	0.803	54647.2081218274	27010	0.905	142157.894736842	-0.523307392931404	0.00650026872337645	0.993505302521163	0.0198153353019056	1
"UMAG_01977"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
